#Time, x, y, z
0.00253	                                          Total                            :       1.19444e+08       211.898       -1.71584e+06
0.00254	                                          Total                            :       -46421.3       1.08601e+09       -3.16986
0.00255	                                          Total                            :       1.18473e+08       -77.094       -1.69686e+06
0.00256	                                          Total                            :       -43294.7       1.07731e+09       -4.47492
0.00257	                                          Total                            :       1.17424e+08       3343.95       -1.67744e+06
0.00258	                                          Total                            :       -89672       1.06774e+09       -0.266744
0.00259	                                          Total                            :       1.16426e+08       1792.34       -1.65905e+06
0.0026	                                          Total                            :       -66158.1       1.05855e+09       -6.54342
0.00261	                                          Total                            :       1.15474e+08       -224.939       -1.64001e+06
0.00262	                                          Total                            :       -38819.8       1.04979e+09       -2.54072
0.00263	                                          Total                            :       1.14538e+08       143.392       -1.62235e+06
0.00264	                                          Total                            :       -43561.4       1.04127e+09       -2.82493
0.00265	                                          Total                            :       1.13611e+08       -26.0565       -1.60428e+06
0.00266	                                          Total                            :       -40966.9       1.0328e+09       -1.2778
0.00267	                                          Total                            :       1.12695e+08       459.057       -1.58753e+06
0.00268	                                          Total                            :       -46502.2       1.02448e+09       -2.03665
0.00269	                                          Total                            :       1.11793e+08       523.496       -1.56824e+06
0.0027	                                          Total                            :       -47049       1.01632e+09       -1.02909
0.00271	                                          Total                            :       1.10902e+08       474.715       -1.55155e+06
0.00272	                                          Total                            :       -46071.8       1.00825e+09       -2.04983
0.00273	                                          Total                            :       1.10025e+08       279.132       -1.5347e+06
0.00274	                                          Total                            :       -41295.5       1.00028e+09       -2.24143
0.00275	                                          Total                            :       1.09162e+08       253.368       -1.51905e+06
0.00276	                                          Total                            :       -41902.2       9.92403e+08       -2.60876
0.00277	                                          Total                            :       1.08306e+08       60.4394       -1.50258e+06
0.00278	                                          Total                            :       -39529       9.84681e+08       -1.67846
0.00279	                                          Total                            :       1.07485e+08       2902.88       -1.48675e+06
0.0028	                                          Total                            :       -69878.1       9.77125e+08       -1.37108
0.00281	                                          Total                            :       1.0665e+08       597.473       -1.4704e+06
0.00282	                                          Total                            :       -45421.2       9.69467e+08       -2.2965
0.00283	                                          Total                            :       1.05811e+08       1119.35       -1.45505e+06
0.00284	                                          Total                            :       -49307.1       9.61839e+08       -0.344529
0.00285	                                          Total                            :       1.05011e+08       479.855       -1.43944e+06
0.00286	                                          Total                            :       -39228.5       9.54556e+08       -3.10844
0.00287	                                          Total                            :       1.04223e+08       118.802       -1.4247e+06
0.00288	                                          Total                            :       -33105.7       9.47364e+08       -1.76044
0.00289	                                          Total                            :       1.03445e+08       205.776       -1.40949e+06
0.0029	                                          Total                            :       -35908.7       9.4031e+08       -2.17498
0.00291	                                          Total                            :       1.02676e+08       340.278       -1.39494e+06
0.00292	                                          Total                            :       -36502.8       9.33334e+08       -0.0958721
0.00293	                                          Total                            :       1.01918e+08       472.327       -1.38011e+06
0.00294	                                          Total                            :       -37987.9       9.26454e+08       -0.561991
0.00295	                                          Total                            :       1.0117e+08       422.78       -1.36598e+06
0.00296	                                          Total                            :       -37507.8       9.19654e+08       -0.869791
0.00297	                                          Total                            :       1.00429e+08       498.866       -1.35174e+06
0.00298	                                          Total                            :       -39268.8       9.13041e+08       -1.71075
0.00299	                                          Total                            :       9.97079e+07       501.338       -1.33799e+06
0.003	                                          Total                            :       -39126.3       9.06464e+08       -1.00734
